,MovieID,Genre,GenreID
0,tt2015381,Action,1
1,tt2015381,Adventure,2
2,tt2015381,Comedy,3
4,tt1446714,Mystery,4
5,tt1446714,Sci-Fi,5
6,tt4972582,Horror,6
7,tt4972582,Thriller,7
8,tt3470600,Animation,8
10,tt3470600,Family,9
13,tt1386697,Fantasy,10
18,tt3783958,Drama,11
19,tt3783958,Music,12
21,tt1212428,Biography,13
24,tt1355644,Romance,14
31,tt4846340,History,15
55,tt1800302,Crime,16
182,tt0361748,War,17
